cust_code,customer_name,item_code,item_description,invoice_date,invoice_no,quantity,price,amount,cost,profit,margin,source_file
SAMRES,Sammarco Restaurant Inc.,10340,Clam - BC Manila,2026-03-10,0996199,10,8.95,89.50,60.91,28.59,31.94,DSCI.txt
SAMRES,Sammarco Restaurant Inc.,10340,Clam - BC Manila,2026-03-14,0996912,10,8.95,89.50,63.45,26.05,29.10,DSCI.txt
TABLX,Taberna LX,10340,Clam - BC Manila,2026-03-11,0996337,5,8.95,44.75,30.46,14.29,31.94,DSCI.txt
TABLX,Taberna LX,10340,Clam - BC Manila,2026-03-13,0996668,8,8.95,71.60,48.73,22.87,31.94,DSCI.txt
ALORES,Alo Restaurant - Spadina,10360,Clam - Razor,2026-03-09,0996171,6.8,16.95,115.26,77.40,37.86,32.85,DSCI.txt
ALORES,Alo Restaurant - Spadina,10360,Clam - Razor,2026-03-10,0996305,6,16.95,101.70,69.63,32.07,31.53,DSCI.txt
ALORES,Alo Restaurant - Spadina,10360,Clam - Razor,2026-03-12,0996602,6,16.95,101.70,69.63,32.07,31.53,DSCI.txt
DANICO,DaNico Restaurant,10360,Clam - Razor,2026-03-11,0996459,2,21.95,43.90,23.21,20.69,47.13,DSCI.txt
DANICO,DaNico Restaurant,10360,Clam - Razor,2026-03-13,0996766,2.1,21.95,46.10,24.37,21.73,47.13,DSCI.txt
DANICO,DaNico Restaurant,10360,Clam - Razor,2026-03-14,0996907,2,21.95,43.90,23.21,20.69,47.13,DSCI.txt
LUCIE,Lucie,10360,Clam - Razor,2026-03-09,0996170,4,21.95,87.80,45.53,42.27,48.15,DSCI.txt
ONE-AZ,One Time Customer AZ,10360,Clam - Razor,2026-03-09,0996172,10,21.95,219.50,113.82,105.68,48.15,DSCI.txt
PIA-CO,Piano Piano - Colburne,10360,Clam - Razor,2026-03-11,0996362,5,9.5,47.50,58.03,-10.53,-22.17,DSCI.txt
AIRCAN,Air Canada Signature,10400,Cod-Atlantic (whole),2026-03-11,0996424,87.3,10.5,916.65,516.54,400.11,43.65,DSCI.txt
AIRCAN,Air Canada Signature,10400,Cod-Atlantic (whole),2026-03-13,0996765,157.3,10.5,1651.65,930.73,720.92,43.65,DSCI.txt
AIRCAN,Air Canada Signature,10400,Cod-Atlantic (whole),2026-03-16,0997019,101.8,10.5,1068.90,602.34,466.56,43.65,DSCI.txt
MIMICH,Davenport Restaurant Inc./ MiMi Chinese,10400,Cod-Atlantic (whole),2026-03-13,0996797,8,10.95,87.60,47.34,40.26,45.96,DSCI.txt
AXIEL,Axiel Foods - MCEWAN GROUP,10413,Cod Pacific (Loins skinless),2026-03-11,0996449,3.35,16.95,56.78,48.79,7.99,14.07,DSCI.txt
AXIEL,Axiel Foods - MCEWAN GROUP,10413,Cod Pacific (Loins skinless),2026-03-16,0997038,5.7,16.95,96.62,83.17,13.45,13.92,DSCI.txt
CONTRA,Contrada,10413,Cod Pacific (Loins skinless),2026-03-16,0997023,1.75,21.95,38.41,25.54,12.87,33.52,DSCI.txt
MILOU,Milou,10413,Cod Pacific (Loins skinless),2026-03-12,0996589,10,21.95,219.50,145.65,73.85,33.64,DSCI.txt
VINTAG,Vintage Conservatory - King,10413,Cod Pacific (Loins skinless),2026-03-16,0997007,20,21.95,439.00,291.84,147.16,33.52,DSCI.txt
WILGAS,The Wilcox Gastropub,10413,Cod Pacific (Loins skinless),2026-03-12,0996513,10,18.95,189.50,145.65,43.85,23.14,DSCI.txt
AXIELR,Axiel Foods - Retail Web,10414,Cod-Iceland (Loins skinless),2026-03-14,0996944,1.375,21.64,29.76,24.51,5.25,17.66,DSCI.txt
AXIELR,Axiel Foods - Retail Web,10414,Cod-Iceland (Loins skinless),2026-03-14,0996944,0.6875,24.35,16.74,12.25,4.49,26.81,DSCI.txt
LANHAL,Langdon hall Country House Hotel & Spa,10414,Cod-Iceland (Loins skinless),2026-03-12,0996612,20,23.95,479.00,355.41,123.59,25.80,DSCI.txt
LANHAL,Langdon hall Country House Hotel & Spa,10414,Cod-Iceland (Loins skinless),2026-03-16,0997028,20,23.95,479.00,356.44,122.56,25.59,DSCI.txt
OLDE,Just An Olde Fashion Butchery,10414,Cod-Iceland (Loins skinless),2026-03-11,0996409,1.9,24.95,47.41,33.76,13.65,28.78,DSCI.txt
POVIME,Por Vida Mezcal & Mexican,10414,Cod-Iceland (Loins skinless),2026-03-10,0996217,10,19.95,199.50,177.70,21.80,10.93,DSCI.txt
POVIME,Por Vida Mezcal & Mexican,10414,Cod-Iceland (Loins skinless),2026-03-12,0996569,10,19.95,199.50,177.70,21.80,10.93,DSCI.txt
ROSERE,Rosebud Restaurant,10414,Cod-Iceland (Loins skinless),2026-03-13,0996674,10,23.95,239.50,177.70,61.80,25.80,DSCI.txt
AXIELR,Axiel Foods - Retail Web,10416,"Cod-Wild (Fillet, skin OFF)",2026-03-14,0996944,4,6.98,27.90,38.13,-10.23,-36.65,DSCI.txt
CLARES,CLAY Restaurant,10416,"Cod-Wild (Fillet, skin OFF)",2026-03-10,0996252,10,16.95,169.50,97.10,72.40,42.72,DSCI.txt
LANAYA,La Nayarita,10416,"Cod-Wild (Fillet, skin OFF)",2026-03-10,0996255,6.7,16.95,113.57,65.05,48.52,42.72,DSCI.txt
MILOU,Milou,10416,"Cod-Wild (Fillet, skin OFF)",2026-03-09,0996140,7.45,16.95,126.28,72.34,53.94,42.72,DSCI.txt
MILOU,Milou,10416,"Cod-Wild (Fillet, skin OFF)",2026-03-14,0996874,2.5,16.95,42.38,23.83,18.55,43.77,DSCI.txt
PETPAN,Peter Pan Bistro,10416,"Cod-Wild (Fillet, skin OFF)",2026-03-12,0996495,10,16.95,169.50,97.10,72.40,42.72,DSCI.txt
12TAB,12 Tables,10417,Cod-Black Farmed 4/6 (Whole),2026-03-10,0996270,14.2,18.95,269.09,163.29,105.80,39.32,DSCI.txt
12TAB,12 Tables,10417,Cod-Black Farmed 4/6 (Whole),2026-03-13,0996731,12.6,18.95,238.77,144.89,93.88,39.32,DSCI.txt
COM-CI,Compass Group Canada /CIBC,10417,Cod-Black Farmed 4/6 (Whole),2026-03-09,0996124,40.9,18.95,775.06,470.31,304.75,39.32,DSCI.txt
COM-CI,Compass Group Canada /CIBC,10417,Cod-Black Farmed 4/6 (Whole),2026-03-12,0996634,63,18.95,1193.85,724.44,469.41,39.32,DSCI.txt
COM-CI,Compass Group Canada /CIBC,10417,Cod-Black Farmed 4/6 (Whole),2026-03-16,0996981,45.1,18.95,854.65,518.60,336.05,39.32,DSCI.txt
MARUJA,Maru Japanese Bisto,10417,Cod-Black Farmed 4/6 (Whole),2026-03-10,0996304,8.3,18.95,157.29,95.44,61.85,39.32,DSCI.txt
QUETZA,Quetzal,10417,Cod-Black Farmed 4/6 (Whole),2026-03-12,0996615,4.8,18.95,90.96,55.20,35.76,39.32,DSCI.txt
RE20VI,Restaurant 20 Victoria,10417,Cod-Black Farmed 4/6 (Whole),2026-03-11,0996336,15,18.95,284.25,172.48,111.77,39.32,DSCI.txt
RE20VI,Restaurant 20 Victoria,10417,Cod-Black Farmed 4/6 (Whole),2026-03-12,0996605,18.5,18.95,350.58,212.73,137.85,39.32,DSCI.txt
RE20VI,Restaurant 20 Victoria,10417,Cod-Black Farmed 4/6 (Whole),2026-03-14,0996919,14,18.95,265.30,160.99,104.31,39.32,DSCI.txt
STGEOR,St. George's Golf and Country Club,10417,Cod-Black Farmed 4/6 (Whole),2026-03-13,0996711,57.7,17.95,1035.72,663.49,372.23,35.94,DSCI.txt
STGEOR,St. George's Golf and Country Club,10417,Cod-Black Farmed 4/6 (Whole),2026-03-14,0996858,40.9,17.95,734.16,470.31,263.85,35.94,DSCI.txt
SUMHIL,Summerhill Market - Rosedale,10417,Cod-Black Farmed 4/6 (Whole),2026-03-11,0996328,18.8,18.95,356.26,216.18,140.08,39.32,DSCI.txt
SUMHIL,Summerhill Market - Rosedale,10417,Cod-Black Farmed 4/6 (Whole),2026-03-12,0996499,12.7,18.95,240.67,146.04,94.63,39.32,DSCI.txt
SUMHIL,Summerhill Market - Rosedale,10417,Cod-Black Farmed 4/6 (Whole),2026-03-14,0996810,15.2,18.95,288.04,174.78,113.26,39.32,DSCI.txt
SUMHIL,Summerhill Market - Rosedale,10417,Cod-Black Farmed 4/6 (Whole),2026-03-16,0997013,12.4,18.95,234.98,142.59,92.39,39.32,DSCI.txt
SUNCHI,Sunny's Kensington Inc.,10417,Cod-Black Farmed 4/6 (Whole),2026-03-09,0996082,14.3,18.95,270.99,164.44,106.55,39.32,DSCI.txt
SUNCHI,Sunny's Kensington Inc.,10417,Cod-Black Farmed 4/6 (Whole),2026-03-11,0996387,10.1,18.95,191.40,116.14,75.26,39.32,DSCI.txt
